Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,Cloud
24/03/2022,9.1,12.3,5.9,0,1014.9,160,17,2
23/03/2022,8.3,12.3,4.3,0,1016.1,189,13,2
22/03/2022,6,9.1,2.8,0,1024.3,160,10,2
21/03/2022,3.9,7.9,-0.2,0,1025.8,117,6,2
20/03/2022,2.5,5.1,-0.2,0,1023.5,158,8,2
19/03/2022,3.5,6.2,0.7,2,1019.3,345,23,2
18/03/2022,4.1,6.2,2,1.9,1012.8,323,15,2
17/03/2022,8.4,14,2.8,1.1,1019.5,351,20,2
16/03/2022,9.9,14.2,5.7,0.7,1019.3,37,11,2
15/03/2022,10.6,15.4,5.7,0,1012.8,153,12,2
14/03/2022,10.8,15.4,6.1,0,1015.9,344,16,2
13/03/2022,9.9,13.1,6.7,0.2,1013.3,163,7,2
12/03/2022,10.2,13.8,6.7,0.3,1011.4,136,10,2
11/03/2022,9.9,13.8,6.1,0,1017.9,136,9,2
10/03/2022,9.1,12.5,5.7,2,1016.3,114,9,2
09/03/2022,8.9,12.7,5.1,0,1020.5,148,11,2
08/03/2022,8.2,12.1,4.4,0,1018.3,146,11,2
07/03/2022,5.5,9.7,1.3,0,1019.3,169,9,2
06/03/2022,5.8,10.3,1.3,0,1024.2,182,13,2
05/03/2022,11.2,20,2.4,0,1024.1,337,12,2
04/03/2022,12.7,20,5.3,0,1013.9,317,19,2
03/03/2022,8.2,13.3,3.1,0,1014.7,155,13,2
02/03/2022,6.1,9.7,2.5,0,1018.4,156,9,2
01/03/2022,5.6,8.7,2.5,0,1022.3,316,18,2
28/02/2022,6.3,9.7,3,0,1016.8,151,14,2
27/02/2022,6.7,10.3,3,0,1022.1,169,13,2
26/02/2022,7,10.4,3.5,0,1021.8,269,16,2
25/02/2022,4.9,9.6,0.2,0,1023.6,181,12,2
24/02/2022,1.2,7.2,-4.8,0,1030.5,189,9,2
23/02/2022,-0.6,3.7,-4.8,0,1035.9,229,8,2
22/02/2022,1.7,5.4,-2,0,1036.3,0,18,2
21/02/2022,0.9,5.4,-3.6,0,1032.3,344,12,2
20/02/2022,0.2,4,-3.6,0,1030.7,273,11,2
19/02/2022,-0.3,2.5,-3.1,0,1031.8,326,24,2
18/02/2022,-1.6,2.5,-5.7,0,1030.5,87,10,2
17/02/2022,-2.5,0.6,-5.7,0,1032.5,55,7,2
16/02/2022,-2.5,0.6,-5.6,0,1030.8,1,19,2
15/02/2022,-1.6,2.5,-5.6,0,1028.3,345,11,2
14/02/2022,2.1,6.6,-2.3,0,1027.6,356,20,2
13/02/2022,4.5,7.7,1.3,0.2,1023.4,167,9,2
12/02/2022,5.2,8.5,2,0,1025.5,126,6,2
11/02/2022,5.2,8.5,2,0,1027.2,188,6,2
10/02/2022,5.2,8.5,2,0,1025.1,198,7,2
09/02/2022,3.5,6.7,0.2,0,1025.1,183,9,2
08/02/2022,3.3,6.7,-0.1,0,1029,299,6,2
07/02/2022,1.2,4.7,-2.3,0,1029.3,346,6,2
06/02/2022,0.2,4.7,-4.2,0,1031.4,337,10,2
05/02/2022,-1,2.2,-4.2,0,1033.2,328,17,2
04/02/2022,0.7,4.2,-2.8,0,1030.8,335,19,2
03/02/2022,0.4,4.2,-3.4,0,1028.8,182,7,2
02/02/2022,-0.1,3.3,-3.4,0,1031,341,7,2
01/02/2022,0.9,5.1,-3.3,0,1032.5,342,15,2
31/01/2022,1.2,5.1,-2.7,0,1026.3,316,15,2
30/01/2022,0.6,4.3,-3.1,0,1026.3,224,9,2
29/01/2022,0.2,3.5,-3.1,0,1026,345,10,2
28/01/2022,0,3.1,-3.1,0,1029.6,343,15,2
27/01/2022,1.1,4,-1.9,0,1031.3,359,14,2
26/01/2022,1.1,4,-1.9,0,1028.9,353,13,2
25/01/2022,0.7,3.4,-2.1,0,1025.8,336,12,2
24/01/2022,0.7,3.6,-2.3,0,1024.6,336,18,2
23/01/2022,1.4,4.8,-1.9,0,1025.9,356,20,2
22/01/2022,0.8,4.8,-3.3,2,1025.9,33,8,2
21/01/2022,-1.7,3,-6.4,0,1029.6,70,6,2
20/01/2022,-1.8,2.8,-6.4,0,1032.8,347,10,2
19/01/2022,1.8,6.4,-2.9,0,1030,356,19,2
18/01/2022,2.9,6.4,-0.7,2,1026.6,211,9,2
17/01/2022,1.1,4.5,-2.3,0,1031.2,353,10,2
16/01/2022,1.6,5.5,-2.3,0,1030.4,286,8,2
15/01/2022,1.2,5.5,-3,0,1025,331,13,2
14/01/2022,0.5,4,-3.1,0,1024.2,199,10,2
13/01/2022,0.4,3.9,-3.1,0,1029.3,344,13,2
12/01/2022,0.3,3.9,-3.2,0.1,1025.1,289,18,2
11/01/2022,-0.2,2.7,-3.2,0,1027.9,16,10,2
10/01/2022,3.1,6.6,-0.3,4.9,1025.9,334,16,2
09/01/2022,3.6,7,0.3,0,1024.7,250,7,2
08/01/2022,2.9,7,-1.2,0,1025.8,334,7,2
07/01/2022,2.4,6,-1.2,0,1030.5,270,6,2
06/01/2022,2.6,5.5,-0.3,0,1033.9,325,9,2
05/01/2022,2.1,5.3,-1,0,1030.3,346,8,2
04/01/2022,3,6.9,-1,0,1030.3,69,10,2
03/01/2022,2.9,6.9,-1.1,0,1027.6,331,10,2
02/01/2022,3.4,7.8,-1.1,0,1030,284,9,2
01/01/2022,3.4,7.8,-1.1,0,1028.6,258,14,2
31/12/2021,2.4,5.9,-1.2,0,1032.7,196,7,2
30/12/2021,2.1,5.4,-1.2,0,1031.9,335,9,2
29/12/2021,2.8,6,-0.4,0,1027.4,321,15,2
28/12/2021,0.8,6,-4.3,0,1025.1,228,10,2
27/12/2021,-1.8,4.6,-8.1,0,1033,287,6,2
26/12/2021,-5.7,-3.3,-8.1,0,1039.2,318,20,2
25/12/2021,-5.7,-3.9,-7.5,0.9,1042.2,331,23,2
24/12/2021,0.9,8.3,-6.5,0.1,1035.6,1,26,2
23/12/2021,7,11.1,3,0,1024.4,346,14,2
22/12/2021,8.3,11.6,5,0,1024,159,12,2
21/12/2021,8.9,12.8,5,0,1021.3,103,11,2
20/12/2021,8.4,12.8,4,0,1016.1,211,8,2
14/12/2021,3.5,8.6,-1.7,2,1020.5,221,16,2
13/12/2021,2.5,6.8,-1.7,0,1027.1,243,8,2
12/12/2021,4.8,8.4,1.2,0,1033.8,351,18,2
11/12/2021,6.8,9.3,4.2,2,1029.5,334,14,2
10/12/2021,7.8,11.2,4.3,0,1028.9,337,16,2
09/12/2021,7.3,11.2,3.5,0,1026.3,305,6,2
08/12/2021,7.1,10.7,3.5,0,1031.3,192,8,2
